JarID,FemEclosion,PaperCode,PaperStrt,PaperStop,Fluon,Mated,FemDead,MortDate,EggsRed,EggsWhite
1,6/13/2018,A,6/14/2018,6/16/2018,FALSE,FALSE,FALSE,,0,0
2,6/13/2018,A,6/14/2018,6/16/2018,FALSE,FALSE,FALSE,,0,0
3,6/13/2018,A,6/14/2018,6/16/2018,FALSE,FALSE,FALSE,,0,0
4,6/13/2018,A,6/14/2018,6/16/2018,FALSE,FALSE,FALSE,,31,0
5,6/13/2018,A,6/14/2018,6/16/2018,FALSE,FALSE,FALSE,,0,0
6,6/13/2018,A,6/14/2018,6/16/2018,FALSE,TRUE,FALSE,,140,34
7,6/13/2018,A,6/14/2018,6/16/2018,FALSE,TRUE,FALSE,,114,5
8,6/13/2018,A,6/14/2018,6/16/2018,FALSE,TRUE,FALSE,,2,37
9,6/13/2018,A,6/14/2018,6/16/2018,FALSE,TRUE,FALSE,,147,16
10,6/13/2018,A,6/14/2018,6/16/2018,FALSE,TRUE,FALSE,,14,0
11,6/13/2018,A,6/14/2018,6/16/2018,TRUE,FALSE,FALSE,,0,8
12,6/13/2018,A,6/14/2018,6/16/2018,TRUE,FALSE,FALSE,,0,2
13,6/13/2018,A,6/14/2018,6/16/2018,TRUE,FALSE,TRUE,6/16/2018,0,0
14,6/13/2018,A,6/14/2018,6/16/2018,TRUE,FALSE,FALSE,,60,1
15,6/13/2018,A,6/14/2018,6/16/2018,TRUE,FALSE,FALSE,,1,0
16,6/13/2018,A,6/14/2018,6/16/2018,TRUE,TRUE,FALSE,,58,1
17,6/13/2018,A,6/14/2018,6/16/2018,TRUE,TRUE,FALSE,,13,11
18,6/13/2018,A,6/14/2018,6/16/2018,TRUE,TRUE,FALSE,,168,17
19,6/13/2018,A,6/14/2018,6/16/2018,TRUE,TRUE,FALSE,,78,13
20,6/13/2018,A,6/14/2018,6/16/2018,TRUE,TRUE,TRUE,6/16/2018,0,0
21,6/18/2018,A,6/19/2018,6/21/2018,FALSE,FALSE,FALSE,,0,13
22,6/18/2018,A,6/19/2018,6/21/2018,FALSE,FALSE,FALSE,,0,39
23,6/18/2018,A,6/19/2018,6/21/2018,FALSE,FALSE,FALSE,,0,2
24,6/18/2018,A,6/19/2018,6/21/2018,FALSE,FALSE,FALSE,,0,0
25,6/18/2018,A,6/19/2018,6/21/2018,FALSE,FALSE,FALSE,,0,0
26,6/18/2018,A,6/19/2018,6/21/2018,FALSE,FALSE,FALSE,,0,32
27,6/18/2018,A,6/19/2018,6/21/2018,FALSE,FALSE,FALSE,,0,4
28,6/18/2018,A,6/19/2018,6/21/2018,FALSE,FALSE,FALSE,,0,0
29,6/18/2018,A,6/19/2018,6/21/2018,FALSE,FALSE,FALSE,,0,0
30,6/18/2018,A,6/19/2018,6/21/2018,FALSE,TRUE,FALSE,,0,9
31,6/18/2018,A,6/19/2018,6/21/2018,FALSE,TRUE,FALSE,,89,115
32,6/18/2018,A,6/19/2018,6/21/2018,FALSE,TRUE,TRUE,6/21/2018,95,46
33,6/18/2018,A,6/19/2018,6/21/2018,FALSE,TRUE,FALSE,,0,0
34,6/18/2018,A,6/19/2018,6/21/2018,FALSE,TRUE,FALSE,,36,125
35,6/18/2018,A,6/19/2018,6/21/2018,FALSE,TRUE,FALSE,,0,0
36,6/18/2018,A,6/19/2018,6/21/2018,FALSE,TRUE,FALSE,,0,1
37,6/18/2018,A,6/19/2018,6/21/2018,FALSE,TRUE,FALSE,,82,44
38,6/18/2018,A,6/19/2018,6/21/2018,FALSE,TRUE,FALSE,,235,58
39,6/18/2018,A,6/19/2018,6/21/2018,FALSE,TRUE,FALSE,,97,48
40,6/18/2018,A,6/19/2018,6/21/2018,FALSE,TRUE,FALSE,,157,46
41,6/25/2018,A,6/26/2018,6/28/2018,FALSE,FALSE,FALSE,,0,18
42,6/25/2018,A,6/26/2018,6/28/2018,FALSE,FALSE,FALSE,,0,19
43,6/25/2018,A,6/26/2018,6/28/2018,FALSE,FALSE,FALSE,,0,2
44,6/25/2018,A,6/26/2018,6/28/2018,FALSE,FALSE,FALSE,,0,4
45,6/25/2018,A,6/26/2018,6/28/2018,FALSE,FALSE,FALSE,,0,0
46,6/25/2018,A,6/26/2018,6/28/2018,FALSE,FALSE,FALSE,,0,0
47,6/25/2018,A,6/26/2018,6/28/2018,FALSE,FALSE,FALSE,,0,8
48,6/25/2018,A,6/26/2018,6/28/2018,FALSE,FALSE,FALSE,,0,19
49,6/25/2018,A,6/26/2018,6/28/2018,FALSE,FALSE,FALSE,,0,4
50,6/25/2018,A,6/26/2018,6/28/2018,FALSE,FALSE,FALSE,,0,0
51,6/25/2018,A,6/26/2018,6/28/2018,FALSE,TRUE,FALSE,,95,82
52,6/25/2018,A,6/26/2018,6/28/2018,FALSE,TRUE,FALSE,,176,127
53,6/25/2018,A,6/26/2018,6/28/2018,FALSE,TRUE,FALSE,,133,103
54,6/25/2018,A,6/26/2018,6/28/2018,FALSE,TRUE,FALSE,,0,4
55,6/25/2018,A,6/26/2018,6/28/2018,FALSE,TRUE,FALSE,,101,95
56,6/25/2018,A,6/26/2018,6/28/2018,FALSE,TRUE,FALSE,,16,50
57,6/25/2018,A,6/26/2018,6/28/2018,FALSE,TRUE,FALSE,,0,61
58,6/25/2018,A,6/26/2018,6/28/2018,FALSE,TRUE,FALSE,,61,63
59,6/25/2018,A,6/26/2018,6/28/2018,FALSE,TRUE,FALSE,,183,93
60,6/25/2018,A,6/26/2018,6/28/2018,FALSE,TRUE,FALSE,,61,73
1,6/13/2018,B,6/16/2018,6/18/2018,FALSE,FALSE,FALSE,,0,1
2,6/13/2018,B,6/16/2018,6/18/2018,FALSE,FALSE,FALSE,,3,0
3,6/13/2018,B,6/16/2018,6/18/2018,FALSE,FALSE,FALSE,,2,0
4,6/13/2018,B,6/16/2018,6/18/2018,FALSE,FALSE,TRUE,6/18/2018,0,31
5,6/13/2018,B,6/16/2018,6/18/2018,FALSE,FALSE,FALSE,,0,0
6,6/13/2018,B,6/16/2018,6/18/2018,FALSE,TRUE,FALSE,,27,14
7,6/13/2018,B,6/16/2018,6/18/2018,FALSE,TRUE,FALSE,,14,2
8,6/13/2018,B,6/16/2018,6/18/2018,FALSE,TRUE,FALSE,,0,17
9,6/13/2018,B,6/16/2018,6/18/2018,FALSE,TRUE,FALSE,,7,0
10,6/13/2018,B,6/16/2018,6/18/2018,FALSE,TRUE,FALSE,,0,3
11,6/13/2018,B,6/16/2018,6/18/2018,TRUE,FALSE,FALSE,,0,10
