MothID,Code,Eclosion,Start,End,Mated,RedEggsTrap,WhiteEggsTrap,RedEggsPaper,WhiteEggsPaper,RedEggsJar,WhiteEggsJar,Alive,MortDate
1,A,7/10/2018,7/10/2018,7/12/2018,FALSE,0,0,0,0,0,0,TRUE,
2,A,7/10/2018,7/10/2018,7/12/2018,FALSE,0,0,0,0,0,0,TRUE,
3,A,7/10/2018,7/10/2018,7/12/2018,FALSE,0,1,0,0,0,0,TRUE,
4,A,7/10/2018,7/10/2018,7/12/2018,FALSE,0,1,0,0,0,0,TRUE,
5,A,7/10/2018,7/10/2018,7/12/2018,FALSE,0,1,0,3,0,0,FALSE,7/12/2018
6,A,7/10/2018,7/10/2018,7/12/2018,TRUE,56,1,126,0,18,0,TRUE,
7,A,7/10/2018,7/10/2018,7/12/2018,TRUE,125,8,10,3,2,3,TRUE,
8,A,7/10/2018,7/10/2018,7/12/2018,TRUE,23,5,26,3,30,7,TRUE,
9,A,7/10/2018,7/10/2018,7/12/2018,TRUE,41,1,2,0,0,0,TRUE,
10,A,7/10/2018,7/10/2018,7/12/2018,TRUE,105,8,101,11,0,0,TRUE,
1,B,7/10/2018,7/12/2018,7/14/2018,FALSE,0,0,0,1,0,0,TRUE,
2,B,7/10/2018,7/12/2018,7/14/2018,FALSE,0,0,0,0,0,2,TRUE,
3,B,7/10/2018,7/12/2018,7/14/2018,FALSE,1,2,0,4,0,0,FALSE,
4,B,7/10/2018,7/12/2018,7/14/2018,FALSE,0,2,0,0,0,0,TRUE,
5,B,7/10/2018,7/12/2018,7/14/2018,FALSE,0,0,0,0,0,0,TRUE,
6,B,7/10/2018,7/12/2018,7/14/2018,TRUE,27,2,27,0,7,0,TRUE,
7,B,7/10/2018,7/12/2018,7/14/2018,TRUE,14,0,4,0,3,0,TRUE,
8,B,7/10/2018,7/12/2018,7/14/2018,TRUE,34,10,3,0,1,4,TRUE,
9,B,7/10/2018,7/12/2018,7/14/2018,TRUE,33,0,9,1,5,3,TRUE,
10,B,7/10/2018,7/12/2018,7/14/2018,TRUE,6,1,2,0,0,0,FALSE,7/14/2018
1,C,7/10/2018,7/14/2018,7/16/2018,FALSE,0,10,0,1,0,0,TRUE,
2,C,7/10/2018,7/16/2018,7/18/2018,FALSE,0,0,0,2,0,2,TRUE,
3,C,7/10/2018,7/16/2018,7/18/2018,FALSE,0,0,0,0,0,0,FALSE,7/16/2018
4,C,7/10/2018,7/16/2018,7/18/2018,FALSE,0,0,0,8,0,0,TRUE,
5,C,7/10/2018,7/16/2018,7/18/2018,FALSE,0,0,0,0,0,0,FALSE,
6,C,7/10/2018,7/16/2018,7/18/2018,TRUE,1,1,15,0,7,0,TRUE,
7,C,7/10/2018,7/16/2018,7/18/2018,TRUE,4,0,0,0,3,0,TRUE,
8,C,7/10/2018,7/16/2018,7/18/2018,TRUE,0,0,0,0,1,4,TRUE,
9,C,7/10/2018,7/16/2018,7/18/2018,TRUE,10,3,8,2,5,3,TRUE,
10,C,7/10/2018,7/16/2018,7/18/2018,TRUE,0,0,0,0,0,0,FALSE,
